,CountryName,Date,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns
449,Hungary,20210325,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
450,Hungary,20210326,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
451,Hungary,20210327,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
452,Hungary,20210328,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
453,Hungary,20210329,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
454,Hungary,20210330,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
455,Hungary,20210331,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
456,Hungary,20210401,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
457,Hungary,20210402,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
458,Hungary,20210403,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
459,Hungary,20210404,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
460,Hungary,20210405,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
461,Hungary,20210406,3.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0
462,Hungary,20210407,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
463,Hungary,20210408,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
464,Hungary,20210409,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
465,Hungary,20210410,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
466,Hungary,20210411,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
467,Hungary,20210412,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
468,Hungary,20210413,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
469,Hungary,20210414,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
470,Hungary,20210415,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
471,Hungary,20210416,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
472,Hungary,20210417,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
473,Hungary,20210418,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
474,Hungary,20210419,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
475,Hungary,20210420,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
476,Hungary,20210421,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
477,Hungary,20210422,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
478,Hungary,20210423,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
479,Hungary,20210424,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
480,Hungary,20210425,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
481,Hungary,20210426,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
482,Hungary,20210427,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
483,Hungary,20210428,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
484,Hungary,20210429,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
485,Hungary,20210430,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
486,Hungary,20210501,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
487,Hungary,20210502,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
488,Hungary,20210503,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
489,Hungary,20210504,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
490,Hungary,20210505,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
491,Hungary,20210506,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
492,Hungary,20210507,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
493,Hungary,20210508,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
494,Hungary,20210509,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
495,Hungary,20210510,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
496,Hungary,20210511,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
497,Hungary,20210512,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
498,Hungary,20210513,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
499,Hungary,20210514,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
500,Hungary,20210515,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
501,Hungary,20210516,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
502,Hungary,20210517,2.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0
503,Hungary,20210518,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
504,Hungary,20210519,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
505,Hungary,20210520,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
506,Hungary,20210521,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
507,Hungary,20210522,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
508,Hungary,20210523,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
509,Hungary,20210524,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
510,Hungary,20210525,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
511,Hungary,20210526,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
512,Hungary,20210527,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
513,Hungary,20210528,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
514,Hungary,20210529,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
515,Hungary,20210530,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
516,Hungary,20210531,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
517,Hungary,20210601,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
518,Hungary,20210602,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
519,Hungary,20210603,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
520,Hungary,20210604,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
521,Hungary,20210605,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
522,Hungary,20210606,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
523,Hungary,20210607,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
524,Hungary,20210608,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
525,Hungary,20210609,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
526,Hungary,20210610,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
527,Hungary,20210611,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
528,Hungary,20210612,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
529,Hungary,20210613,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
530,Hungary,20210614,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
531,Hungary,20210615,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
532,Hungary,20210616,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
533,Hungary,20210617,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
534,Hungary,20210618,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
535,Hungary,20210619,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
536,Hungary,20210620,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
537,Hungary,20210621,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
538,Hungary,20210622,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
539,Hungary,20210623,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
540,Hungary,20210624,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
541,Hungary,20210625,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
542,Hungary,20210626,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
543,Hungary,20210627,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
544,Hungary,20210628,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0
545,Hungary,20210629,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
546,Hungary,20210630,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
547,Hungary,20210701,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
548,Hungary,20210702,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
549,Hungary,20210703,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
550,Hungary,20210704,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
551,Hungary,20210705,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
552,Hungary,20210706,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
553,Hungary,20210707,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
554,Hungary,20210708,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
555,Hungary,20210709,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
556,Hungary,20210710,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
557,Hungary,20210711,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
558,Hungary,20210712,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
559,Hungary,20210713,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
560,Hungary,20210714,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
561,Hungary,20210715,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
562,Hungary,20210716,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
563,Hungary,20210717,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
564,Hungary,20210718,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
565,Hungary,20210719,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
566,Hungary,20210720,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
567,Hungary,20210721,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
568,Hungary,20210722,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
569,Hungary,20210723,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
570,Hungary,20210724,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
571,Hungary,20210725,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
572,Hungary,20210726,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
573,Hungary,20210727,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
574,Hungary,20210728,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
575,Hungary,20210729,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
576,Hungary,20210730,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
577,Hungary,20210731,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
578,Hungary,20210801,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
579,Hungary,20210802,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
580,Hungary,20210803,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
581,Hungary,20210804,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
582,Hungary,20210805,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
583,Hungary,20210806,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
584,Hungary,20210807,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
585,Hungary,20210808,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
586,Hungary,20210809,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
587,Hungary,20210810,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
588,Hungary,20210811,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
589,Hungary,20210812,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
590,Hungary,20210813,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
591,Hungary,20210814,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
592,Hungary,20210815,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
593,Hungary,20210816,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
594,Hungary,20210817,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
595,Hungary,20210818,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
596,Hungary,20210819,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0
597,Hungary,20210820,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
598,Hungary,20210821,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
599,Hungary,20210822,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
600,Hungary,20210823,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
601,Hungary,20210824,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
602,Hungary,20210825,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
603,Hungary,20210826,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
604,Hungary,20210827,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
605,Hungary,20210828,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
606,Hungary,20210829,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
607,Hungary,20210830,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
608,Hungary,20210831,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
609,Hungary,20210901,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
610,Hungary,20210902,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
611,Hungary,20210903,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
612,Hungary,20210904,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
613,Hungary,20210905,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
614,Hungary,20210906,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
615,Hungary,20210907,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
616,Hungary,20210908,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
617,Hungary,20210909,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
618,Hungary,20210910,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
619,Hungary,20210911,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
620,Hungary,20210912,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0
621,Hungary,20210913,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
622,Hungary,20210914,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
623,Hungary,20210915,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
624,Hungary,20210916,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
625,Hungary,20210917,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
626,Hungary,20210918,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
627,Hungary,20210919,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0
